HTTrack3.49-2+htsswf+htsjava launched on Sat, 12 May 2018 11:10:52 at https://www.nyerk.xyz +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -WC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" https://www.nyerk.xyz -O1 "C:\My Web Sites\Nyerk Forum" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

11:10:52	Warning: 	Cache: damaged cache, trying to repair
11:10:52	Warning: 	Cache: 0 bytes successfully recovered in 0 entries
11:10:52	Warning: 	Cache: error trying to open the cache
11:30:00	Warning: 	Retry after error -5 (Unable to get server's address: Der angegebene Host ist unbekannt. ) at link https://s26.postimg.org/p01ftcn9h/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=258)
11:30:00	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s26.postimg.org/wwlx1kypx/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=258)
11:30:00	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s26.postimg.org/8u536pi2t/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=258)
11:30:20	Error: 	"Not Found" (404) at link https://www.nyerk.xyz/styles/we_universal/theme/print.css (from https://www.nyerk.xyz/viewtopic.php?f=2&t=129&view=print)
11:38:59	Warning: 	Retry after error -5 (Unable to get server's address: Der angegebene Host ist unbekannt. ) at link https://s8.postimg.org/5kmkz7x1h/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=7&t=121)
11:39:00	Warning: 	Retry after error -5 (Unable to get server's address: Der angegebene Host ist unbekannt. ) at link https://s11.postimg.org/65cnh4yib/Untitled-1.jpg (from https://www.nyerk.xyz/viewtopic.php?f=7&t=121)
11:39:00	Warning: 	Retry after error -5 (Unable to get server's address: Der angegebene Host ist unbekannt. ) at link https://s3.postimg.org/seieb5cmb/Untitled-2.jpg (from https://www.nyerk.xyz/viewtopic.php?f=7&t=121)
11:39:00	Warning: 	Retry after error -5 (Unable to get server's address: Der angegebene Host ist unbekannt. ) at link https://s29.postimg.org/dxnbkfb3b/Untitled-1.jpg (from https://www.nyerk.xyz/viewtopic.php?f=7&t=121)
11:39:07	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): https://w.estat.com/js/whap.js
11:39:08	Warning: 	Retry after error -5 (Unable to get server's address: Der angegebene Host ist unbekannt. ) at link https://s2.postimg.org/3le6xzodl/Untitled-1.jpg (from https://www.nyerk.xyz/viewtopic.php?f=7&t=204)
11:42:23	Warning: 	Retry after error -5 (Unable to get server's address: Der angegebene Host ist unbekannt. ) at link https://s9.postimg.org/reapa8iq7/unknown_project.jpg (from https://www.nyerk.xyz/viewtopic.php?f=8&t=335&start=10)
11:44:08	Warning: 	Retry after error -5 (Unable to get server's address: unknown error) at link https://s26.postimg.org/p01ftcn9h/image.jpg (from https://www.nyerk.xyz/viewtopic.php?f=6&t=258)
